Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Marshall Public Library,"58,984",01/01/2021,12/31/2021,Marshall,9039354465,"$3,02,662","$69,679","$26,422",$0,$0,Yes,Yes,"48,647","1,233","29,656","5,000","86,303","39,531","15,835","22,267","6,907","46,509",Yes,18,"5,980",-1,"2,178",52
Nancy Nail Memorial Library,"2,739",07/01/2020,06/30/2021,Mart,2548762465,"$26,725","$2,149","$1,200",$0,$0,Yes,Yes,"20,023",81,0,0,"20,884","1,046",308,938,0,"1,043",Yes,5,259,656,708,41
Martindale Community Library,"1,253",01/01/2021,12/31/2021,Martindale,5123574492,"$4,970",$660,"$1,500",$0,$0,Yes,Yes,"9,342",1,"13,114","3,456","26,400","2,150",537,446,66,659,Yes,12,452,-1,760,38
Mason County M Beven Eckert Memorial Library,"4,344",01/01/2021,12/31/2021,Mason,3253475446,"$95,570","$9,635","$7,258",$0,$0,Yes,Yes,"14,761",815,"11,098","2,440","34,640","15,008","2,266","17,626","3,488","23,517",Yes,16,"1,204",-1,"1,757",52
Motley County Library,"1,185",10/01/2020,09/30/2021,Matador,8063472717,"$24,030","$8,674",$800,$0,$0,Yes,Yes,"12,616",295,"5,982","1,941","22,974","3,300",943,"2,428",636,"6,895",Yes,9,525,-1,"1,196",52
Mathis Public Library,"6,182",01/01/2021,12/31/2021,Mathis,3615476201,"$17,879",$668,$55,$0,$0,Yes,Yes,"18,122",44,0,0,"18,513",688,"9,169",652,0,"1,180",Yes,11,0,-1,"1,872",42
Maud Public Library,977,10/01/2020,09/30/2021,Maud,9035852121,"$10,364","$5,000",$0,$0,$0,Yes,Yes,"8,399",95,0,0,"9,630","1,540","1,753","1,104",0,"2,091",Yes,4,185,-1,"1,104",48
McAllen Public Library,"2,19,705",10/01/2020,09/30/2021,McAllen,9566813000,"$32,22,284","$1,42,002","$35,686","$20,775","$20,775",Yes,Yes,"2,72,687","8,028","25,870","5,103","3,30,602","2,88,461","1,13,379","1,73,801","62,223","5,76,083",Yes,224,"48,639","2,17,949","3,848",52
Upton County Public Library,"1,669",01/01/2021,12/31/2021,McCamey,4326528718,"$82,332","$6,900",$0,$0,$0,Yes,Yes,"18,073","1,490",0,0,"19,563","28,195","1,926","13,562",0,"21,213",Yes,7,"6,985",-1,"1,936",51
McGinley Memorial Public Library,"8,351",10/01/2020,09/30/2021,McGregor,2548403732,"$15,600","$6,641","$3,604",$0,$0,Yes,Yes,"17,932",956,"17,557","5,451","43,344","2,790","2,552","2,530",35,"3,359",Yes,8,403,-1,"1,020",51
McKinney Public Library System,"1,95,308",10/01/2020,09/30/2021,McKinney,9725477323,"$29,41,320","$3,07,382","$94,951",$0,$0,Yes,Yes,"1,73,475","7,869","12,729","5,168","2,22,700","1,79,738","94,750","5,64,982","2,32,282","15,51,370",Yes,37,"38,922","1,85,076","3,200",50
Lovett Memorial Library McLean,822,10/01/2020,09/30/2021,McLean,8067792851,"$51,832","$12,111","$1,798",$0,$0,Yes,Yes,"12,537",522,"5,683","1,847","23,071","2,538",433,617,"14,006","83,595",Yes,5,592,"1,075","1,722",40
Medina Community Library,"6,903",01/01/2021,12/31/2021,Medina,8305892825,"$74,857","$7,431","$3,400",$0,"$3,250",Yes,Yes,"9,891",449,"17,299","4,526","33,899","34,245","3,163","7,340","2,456","14,221",Yes,10,"1,115",-1,"1,970",52
Melissa Public Library,"13,901",10/01/2020,09/30/2021,Melissa,9728374540,"$2,67,445","$14,190","$3,000",$0,$0,Yes,Yes,"17,292",210,"34,771","6,969","65,445","15,439","2,460","28,617","3,042","55,710",Yes,13,"1,655",-1,"2,304",50
Memphis Public Library,"2,939",10/01/2020,09/30/2021,Memphis,8062592062,"$44,195","$7,000",$61,"$65,000","$65,000",Yes,Yes,"20,207",729,"5,982","1,941","28,866","7,650","1,403","2,250",602,"4,688",Yes,6,925,776,"1,560",52
Menard Public Library,"2,124",10/01/2020,09/30/2021,Menard,3253962717,"$27,945","$4,177",$0,$0,"$1,941",Yes,Yes,"13,217",322,"80,000",0,"95,044","4,537","1,560","6,105","1,827","11,352",Yes,8,"2,832",-1,"1,696",52
Dr Hector P Garcia Memorial Library,"25,118",10/01/2020,09/30/2021,Mercedes,9565652371,"$3,20,049","$6,538",$675,$0,$0,Yes,Yes,"31,216",68,"9,578","3,278","45,911","8,545","13,357","2,759","24,032","37,858",Yes,46,"2,219",-1,"1,114",25
Meridian Public Library,"1,396",01/01/2021,12/31/2021,Meridian,2544359100,"$25,205","$7,622",$995,$0,$0,Yes,Yes,"12,704",900,"22,911","6,520","44,244","2,586",444,"2,563","1,112","5,445",Yes,10,166,-1,"1,207",49
Merkel Public Library,"2,471",10/01/2020,09/30/2021,Merkel,3259285054,"$29,255","$1,110",$0,$0,$0,Yes,Yes,"9,251",200,0,0,"11,025","1,272",871,"2,302",0,"3,597",Yes,5,107,-1,810,27
MB Noelke Jr Memorial Library,"1,564",10/01/2020,09/30/2021,Mertzon,3258352704,"$20,532","$2,860","$1,500",$0,$0,Yes,Yes,"11,235",399,"11,059","2,426","25,357","1,716",443,784,421,"1,626",Yes,3,"1,179","1,232",960,48
Mesquite Public Library,"1,50,108",10/01/2020,09/30/2021,Mesquite,9722166220,"$15,94,230","$1,25,611","$72,879",$0,$0,Yes,Yes,"1,65,327","4,357","1,75,512","65,572","4,23,176","1,18,811","21,143","94,217","34,403","2,31,619",Yes,35,"29,496","33,426","2,970",51
Gibbs Memorial Library,"15,286",10/01/2020,09/30/2021,Mexia,2545623231,"$1,44,829","$2,645","$3,000",$0,$0,Yes,Yes,"27,352","1,148","17,193","4,566","51,939","18,039","1,954","18,802","6,76,291","8,80,558",Yes,16,"3,476",-1,"2,160",48
Midland County Public Library,"1,77,863",10/01/2020,09/30/2021,Midland,4326884320,"$26,90,379","$1,32,758","$1,54,070",$0,$0,Yes,Yes,"2,36,026","10,142","28,146","14,237","3,08,573","1,48,966","44,089","1,06,685","52,993","3,08,835",Yes,97,"21,574","1,50,152","2,415",50
AH Meadows Library,"41,771",07/01/2020,06/30/2021,Midlothian,4698565211,"$1,71,031","$31,000","$4,000",$0,$0,Yes,Yes,"28,934",533,"35,074",0,"66,621","1,00,000","29,729","31,104","17,058","61,486",Yes,12,"3,000",-1,"2,500",50
Mineola Memorial Library,"10,278",01/01/2021,12/31/2021,Mineola,9035692767,"$1,35,472","$23,942",$708,$0,$0,Yes,Yes,"24,838","1,756",200,20,"28,556","9,762","3,836","18,019",120,"27,364",Yes,4,"2,361","4,460","1,856",51
Boyce Ditto Public Library,"29,484",10/01/2020,09/30/2021,Mineral Wells,9403287880,"$2,40,874","$48,381","$3,000",$0,$0,Yes,Yes,"32,789",893,"31,377","11,433","80,956","27,824","9,613","15,665","4,984","30,399",Yes,10,"1,659",293,"1,951",52
Speer Memorial Library,"1,32,521",10/01/2020,09/30/2021,Mission,9565808750,"$10,43,015","$63,874","$5,194",$0,"$1,651",Yes,Yes,"1,24,555","5,202","9,868","3,568","1,50,280","27,238","5,466","19,825","2,614","37,099",Yes,283,"6,765","40,851","2,836",52
Ward County Library,"12,097",01/01/2021,12/31/2021,Monahans,4329433332,"$3,11,477","$9,246",$0,$0,$500,Yes,Yes,"46,366","1,086",0,0,"51,521","8,677","4,104","5,398",0,"9,015",Yes,8,"3,212",-1,"2,127",46
Moody Community Library,"2,160",01/01/2021,12/31/2021,Moody,2548532004,"$8,118","$1,462",$0,$0,$0,Yes,Yes,"11,486",117,0,0,"12,862","2,637","1,154","1,441",0,"1,983",Yes,5,320,75,"1,220",52
Cochran County Love Memorial Library,"2,897",01/01/2021,12/31/2021,Morton,8062665051,"$63,791","$11,628","$1,500",$0,$0,Yes,Yes,"13,745",169,"17,955","2,721","34,695","6,000","1,566","1,453",48,"2,907",Yes,8,"1,547",-1,"1,750",52
Mount Calm Public Library,282,04/01/2020,03/31/2021,Mount Calm,2549932761,"$20,755","$2,200",$0,$0,$0,Yes,Yes,"11,407",0,0,0,"12,753","1,164",267,"2,396",0,"2,599",Yes,7,263,-1,504,29
Mount Pleasant Public Library,"16,047",10/01/2020,09/30/2021,Mt Pleasant,9035754180,"$3,32,183","$37,708","$8,902",$0,$0,Yes,Yes,"26,963","1,322","35,318","7,146","73,451","29,671","17,103","30,652","7,269","61,900",Yes,32,"2,651",-1,"2,449",49
Franklin County Library,"10,821",01/01/2021,12/31/2021,Mt Vernon,9035374916,"$1,61,432","$15,470","$14,809",$0,$0,Yes,Yes,"14,651",231,"35,483","7,090","59,705","36,203","6,242","12,150","4,608","22,341",Yes,7,"2,974",-1,"2,174",52
Muenster Public Library,"3,015",10/01/2020,09/30/2021,Muenster,9407594291,"$16,248","$5,000",$600,$0,$0,Yes,Yes,"20,888",962,"19,940",0,"42,890","5,161","2,332","7,566","1,785","14,317",Yes,8,"1,806",-1,"1,176",49
Muleshoe Area Public Library,"5,160",10/01/2020,09/30/2021,Muleshoe,8062724707,"$1,78,219","$8,738","$2,702",$0,$0,Yes,Yes,"15,081",384,"31,197","2,784","50,141","20,222","2,165","17,439","2,229","22,952",Yes,2,893,"1,569","2,258",52
Munday City-County Library,"3,683",01/01/2021,12/31/2021,Munday,9404224877,"$4,996","$1,240",$0,$0,$0,Yes,Yes,"8,850",0,0,0,"8,850",438,279,992,0,"1,059",Yes,3,26,-1,552,51
Judy B McDonald Public Library,"32,147",10/01/2020,09/30/2021,Nacogdoches,9365592970,"$4,07,521","$51,000","$41,492",$0,$0,Yes,Yes,"98,893","4,107","6,205","1,112","1,13,088","73,554","38,775","31,151","23,328","85,772",Yes,9,"9,639",-1,"2,335",51
Naples Public Library,"1,387",01/01/2021,12/31/2021,Naples,9038972964,"$15,354",$377,$0,$0,$0,Yes,Yes,"12,715",0,0,0,"14,312","1,279","1,624",0,0,0,Yes,6,207,-1,"1,275",41
Natalia Veterans Memorial Library,"1,202",10/01/2020,09/30/2021,Natalia,2102131990,"$9,672","$2,510",$0,"$11,000","$11,000",Yes,Yes,"10,787",0,0,0,"11,090","2,600",716,147,0,262,Yes,4,200,-1,"1,600",50
Navasota Public Library,"28,278",10/01/2020,09/30/2021,Navasota,9368256744,"$94,112","$8,943",$0,$0,$0,Yes,Yes,"36,666",142,"23,312","6,356","67,860","13,000","13,380","5,997","1,243","9,732",Yes,14,"1,135",-1,"2,016",48
Marion & Ed Hughes Public Library,"18,856",10/01/2020,09/30/2021,Nederland,4097221255,"$3,61,009","$30,987","$17,371",$0,$0,Yes,Yes,"72,404","4,046","39,697","18,176","1,46,547","17,861","2,974","20,253","8,827","49,305",Yes,11,"1,123","43,210","1,995",52
New Boston Public Library,"4,612",10/01/2020,09/30/2021,New Boston,9036285414,"$70,181","$19,200","$1,500",$0,$0,Yes,Yes,"21,513",470,"6,641",135,"30,141","12,328","8,563","17,084",245,"20,954",Yes,5,"2,090",-1,"1,204",52
New Braunfels Public Library,"90,403",10/01/2020,09/30/2021,New Braunfels,8302214300,"$14,97,981","$1,09,684","$91,898","$43,579","$43,579",Yes,Yes,"1,03,450","8,134","2,31,325","28,305","3,88,658","1,18,144","38,063","1,96,405","73,983","5,50,991",Yes,12,"9,243","43,190","2,096",52
New Waverly Public Library,"4,884",01/01/2021,12/31/2021,New Waverly,9363442198,"$34,202","$5,562","$1,500",$0,$0,Yes,Yes,"25,012",177,"20,393","2,875","50,982","11,102","6,286","3,236",445,"5,571",Yes,15,"1,134",-1,"1,680",48
Newton County Public Library,"13,414",01/01/2021,12/31/2021,Newton,4093798300,"$1,33,914","$8,684","$1,500",$0,$0,Yes,Yes,"22,335",465,"19,905","2,920","48,475","26,525","6,226","5,567","1,283","9,137",Yes,19,"2,302",-1,"1,952",52
North Richland Hills Public Library,"69,917",10/01/2020,09/30/2021,North Richland Hills,8174276800,"$17,11,857","$2,10,380","$29,263","$3,46,654","$4,24,454",Yes,Yes,"1,29,052","7,162","1,76,554","71,443","3,95,859","1,54,716","37,842","2,56,039","63,489","5,84,302",Yes,41,"10,145","1,04,173","2,587",52
Ector County Library,"1,67,701",10/01/2020,09/30/2021,Odessa,4323320633,"$12,35,064","$1,08,033","$14,135",$0,$0,Yes,Yes,"2,00,000","5,000","18,577","3,856","2,39,419","1,32,708","1,32,037","1,41,315","16,763","2,12,887",Yes,29,"11,393","4,444","2,558",52
Olney Community Library and Arts Center,"9,172",09/01/2020,08/31/2021,Olney,9405645513,"$1,88,014","$8,184","$4,423",$0,"$7,800",Yes,Yes,"33,392",669,"10,245",790,"46,539","28,135","2,474","3,048","21,756","33,761",Yes,10,356,-1,"2,172",50
Olton Area Library,"3,423",10/01/2020,09/30/2021,Olton,8062857772,"$1,01,906","$9,956","$1,500",$0,$0,Yes,Yes,"7,135",251,"17,677","2,719","29,101","9,571","1,532","2,134","1,627","4,444",Yes,10,"2,942",-1,"1,815",51
Onalaska Public Library,"3,020",10/01/2020,09/30/2021,Onalaska,9366462665,"$33,221",$0,$0,$0,$0,Yes,Yes,"8,991",216,19,0,"9,992","2,553","1,698","2,239",0,"3,159",Yes,4,754,"1,045","1,728",50
Orange Public Library,"19,324",10/01/2020,09/30/2021,Orange,4098831086,"$4,14,568","$37,422","$3,568",$0,$0,Yes,Yes,"72,795","1,592","25,362","1,789","1,03,735","36,722","14,068","16,202","3,193","34,293",Yes,7,"1,884","1,389","2,040",51
Crockett County Public Library,"3,513",01/01/2021,12/31/2021,Ozona,3253923565,"$1,84,626","$18,208","$2,053",$0,$0,Yes,Yes,"16,259","2,008","16,071","3,181","37,729","5,958","2,864","3,286",546,"6,112",Yes,10,924,-1,"2,000",50
Bicentennial City-County Library,"1,363",08/01/2020,07/31/2021,Paducah,8064922006,"$10,748","$7,500","$3,450",$0,$0,Yes,Yes,"8,002",0,"6,500",0,"14,502","1,264",780,0,0,250,Yes,4,88,-1,"1,056",44
Palacios Library Inc,"7,188",01/01/2021,12/31/2021,Palacios,3619723234,"$96,636","$9,949",$0,$0,"$50,000",Yes,Yes,"40,812",770,128,21,"43,669",-1,"2,988","4,441",7,"6,171",Yes,14,"3,245","1,151","2,086",52
Palestine Public Library,"41,590",10/01/2020,09/30/2021,Palestine,9037294121,"$3,69,289","$32,414","$2,500",$0,$0,324,Yes,"86,701","2,920","4,954","1,142","1,01,709","25,683","3,927","37,367","3,764","67,063",Yes,18,"6,881",-1,"1,929",52
Lovett Memorial Library Pampa,"20,836",10/01/2020,09/30/2021,Pampa,8066695780,"$2,59,039","$26,879","$6,544",$0,$0,Yes,Yes,"40,003","1,939","5,062","1,645","53,261","10,906","3,892","13,802","1,242","23,948",Yes,10,"1,607","26,073","2,211",52
Carson County Public Library,"5,854",10/01/2020,09/30/2021,Panhandle,8065373742,"$2,36,822","$8,483",$0,$0,$0,Yes,Yes,"35,651","1,103","5,982","1,941","46,482","14,102","1,240","13,861",204,"21,128",Yes,9,"2,061","3,784","1,694",52
Paris Public Library,"24,476",10/01/2020,09/30/2021,Paris,9037858531,"$4,81,785","$36,572","$29,056",$0,$0,Yes,Yes,"71,987","6,013","1,28,740","4,416","2,14,874","45,535","8,734","44,330","18,073","94,186",Yes,11,"3,962","3,948","2,766",52
Pasadena Public Library,"1,51,950",10/01/2020,09/30/2021,Pasadena,7134770276,"$26,29,422","$1,48,169","$1,12,495",$0,$0,Yes,Yes,"96,352","2,233","93,951","26,276","2,31,051","79,307","41,689","1,19,246","25,314","2,73,177",Yes,121,"22,441","1,16,904","2,316",51
Pearsall Public Library,"7,325",10/01/2020,09/30/2021,Pearsall,8303342496,"$2,07,370","$19,262","$1,500",$0,$0,Yes,Yes,"38,143",0,"16,934","3,630","60,261","27,322","5,369","3,270",827,"6,445",Yes,16,"2,164","5,125","1,976",52
Reeves County Library,"15,949",01/01/2021,12/31/2021,Pecos,4327550914,"$2,88,000","$11,000","$6,000",$0,$0,Yes,Yes,"20,495",674,0,0,"22,659","17,735","3,143","6,021",0,"9,296",Yes,40,"2,059",805,"2,148",51
Peñitas Public Library,"9,980",10/01/2020,09/30/2021,Peñitas,9569998312,"$1,24,669","$4,300",$0,$0,$0,Yes,Yes,"18,656",103,"9,868","3,568","32,519","13,617",34,124,"11,712","13,954",Yes,30,157,-1,"2,080",48
Perry Memorial Library,"9,598",10/01/2020,09/30/2021,Perryton,8064355801,"$2,74,199","$14,406","$3,000",$0,$0,Yes,Yes,"36,474","1,395","5,982","1,941","47,529","8,933","2,989","12,033","1,617","19,029",Yes,8,"1,540","1,061","2,000",38
Pflugerville Public Library,"65,191",10/01/2020,09/30/2021,Pflugerville,5129906375,"$11,82,197","$1,36,743","$1,39,528",$0,$0,Yes,Yes,"73,371","7,772","45,409","35,981","1,80,350","49,341","29,136","37,358","2,78,064","4,10,717",Yes,21,"3,059","2,67,565","3,100",30
Pharr Memorial Library,"1,23,154",10/01/2020,09/30/2021,Pharr,9564024650,"$13,71,381","$1,00,874","$9,800",$0,$0,Yes,Yes,"73,934","1,604","9,868","3,568","91,630","1,17,352","77,890","46,466",211,"76,939",Yes,123,-1,-1,"3,018",48
Pilot Point Community Library,"6,112",10/01/2020,09/30/2021,Pilot Point,9406865004,"$1,79,878","$7,307","$1,000",$0,$0,Yes,Yes,"19,170",305,"10,377",791,"32,835","5,265","3,577","3,669",547,"7,943",Yes,4,587,-1,"1,035",44
Arthur Temple Sr Memorial Library,888,01/01/2021,12/31/2021,Pineland,4095842546,"$1,11,701","$5,824","$2,766",$0,$0,Yes,Yes,"17,518","1,298","89,826",0,"1,10,475","5,925","3,169","4,461","2,440","8,729",Yes,8,"1,057",-1,"1,736",52
Pittsburg-Camp County Public Library,"13,060",10/01/2020,09/30/2021,Pittsburg,9038563302,"$1,28,795","$15,739",$0,$0,$0,Yes,Yes,"22,481","1,175","29,516",69,"54,741","31,409","8,999","22,762","2,451","35,680",Yes,11,"10,104",-1,"2,185",52
Yoakum County Library,"3,486",01/01/2021,12/31/2021,Plains,8064568725,"$1,52,871","$19,722",$0,$0,$0,Yes,Yes,"35,860","1,740",0,0,"41,347","19,319","1,348","24,670",0,"28,926",Yes,11,"13,361","4,388","2,062",52
Unger Memorial Library,"29,718",10/01/2020,09/30/2021,Plainview,8062961148,"$2,78,542","$44,998","$9,818","$70,000","$70,000",Yes,Yes,"49,411","1,791","18,498","3,892","76,629","13,448","37,318","5,169","3,436","15,030",Yes,14,"1,865",-1,"2,240",42
Plano Public Library System,"2,85,494",10/01/2020,09/30/2021,Plano,9727694208,"$98,76,231","$5,30,937","$6,67,129",$0,$0,Yes,Yes,"5,20,964","25,043","56,647","18,360","7,12,933","5,42,192","1,86,277","10,08,997","8,03,619","36,75,464",Yes,196,"56,270","6,73,150","3,255",51
Pleasanton Public Library,"26,026",10/01/2020,09/30/2021,Pleasanton,8305695901,"$2,20,128","$11,881","$11,285",$0,$0,Yes,Yes,"36,108","1,348","15,832","3,584","61,839","22,554","10,266","11,590","4,591","24,557",Yes,16,"3,072",-1,"2,244",51
Betty Foster Public Library,"2,442",10/01/2020,09/30/2021,Ponder,9404792683,"$19,200","$2,484","$1,978",$0,$0,Yes,Yes,"9,918",324,0,0,"10,242",0,"1,039",4,0,4,Yes,4,0,-1,0,0
William R Bill Ellis Memorial Library,"2,904",10/01/2020,09/30/2021,Port Aransas,3617494116,"$2,43,832","$3,241","$2,500","$4,080","$4,080",Yes,Yes,"8,964",246,"21,976","3,989","36,355","5,512","5,896","5,637","3,819","10,255",Yes,5,280,-1,"2,018",52
Port Arthur Public Library,"56,039",10/01/2020,09/30/2021,Port Arthur,4099858838,"$9,98,425","$1,03,200","$13,420",$0,$0,Yes,Yes,"45,868","2,818","38,190","20,693","1,11,005","60,144","2,815","8,805","5,766","18,891",Yes,41,"6,370","61,755","2,375",52
Port Isabel Public Library,"6,904",10/01/2020,09/30/2021,Port Isabel,9569431822,"$1,17,471","$6,514",$0,$0,"$6,141",Yes,Yes,"28,176",669,673,593,"33,188","16,842","24,037",585,"1,497","2,524",Yes,19,0,-1,602,14
Calhoun County Public Library,"21,001",01/01/2021,12/31/2021,Port Lavaca,3615527323,"$4,74,110","$57,010","$17,405",$0,$0,Yes,Yes,"78,873",872,"67,909","4,334","1,58,443","40,109","5,541","21,572","6,104","45,465",Yes,56,"4,206","35,923","1,960",50
Effie & Wilton Hebert Public Library,"13,692",10/01/2020,09/30/2021,Port Neches,4097224554,"$5,04,540","$38,733","$4,357",$0,"$46,000",Yes,Yes,"43,681","1,035","38,240","20,796","1,06,841","1,10,585","5,877","15,996","7,058","40,195",Yes,14,"3,489","27,632","2,914",51
Bell/Whittington Public Library,"20,383",10/01/2020,09/30/2021,Portland,3617774560,"$3,74,099","$51,506","$33,769",$0,$0,Yes,Yes,"36,177","2,711","16,330","3,118","62,874","10,893","26,780","10,847","32,528","61,602",Yes,20,"1,627",-1,"1,303",26
Post Public Library,"2,938",10/01/2020,09/30/2021,Post,8069902149,"$60,828","$15,881","$1,500",$0,$0,Yes,Yes,"14,859","1,117","46,421","16,245","79,008","19,894","1,055","1,589","2,300","6,703",Yes,9,"1,323",-1,"1,110",49
Poteet Public Library,"6,832",10/01/2020,09/30/2021,Poteet,8307428917,"$71,222","$7,235",$0,$0,$0,Yes,Yes,"13,432",118,0,0,"13,946","3,844","5,275","2,012",0,"2,271",Yes,10,748,-1,"1,688",44
Pottsboro Area Public Library,"3,892",10/01/2020,09/30/2021,Pottsboro,9037868274,"$14,403","$2,000",$500,$0,$0,Yes,Yes,"5,522",407,"37,000","6,339","50,415","9,936","3,559","3,471","1,994","7,694",Yes,12,"2,073",-1,"1,196",52
Tri-Community Library,"1,531",09/01/2020,08/31/2021,Prairie Lea,5124882164,"$40,420",$711,"$1,500",$0,$0,Yes,Yes,"9,204",80,"16,668","4,893","30,940",-1,"1,029",207,25,"2,689",Yes,5,150,-1,"1,608",35
Presidio Public Library,"4,205",10/01/2020,09/30/2021,Presidio,4322293317,"$47,804","$5,778",$0,$0,$0,Yes,Yes,"18,736",58,0,0,"20,344","1,155","4,118",106,0,178,Yes,24,"1,155","3,333",240,12
Lois Nelson Public Library,"19,894",10/01/2020,09/30/2021,Princeton,9727363741,"$1,72,698","$13,648","$1,500",$0,$0,Yes,Yes,"9,714",198,"29,479","4,885","46,683",-1,"7,328","7,215","1,344","13,906",Yes,13,"2,102",-1,"1,228",36
Prosper Community Library,"30,174",10/01/2020,09/30/2021,Prosper,9725691185,"$4,41,603","$39,651","$9,867",$0,$0,Yes,Yes,"26,728",438,"35,323","5,118","68,938","25,957","7,791","9,636","8,927","1,04,000",Yes,11,"4,620","16,609","1,767",52
Thompson Sawyer Public Library,"4,011",01/01/2021,12/31/2021,Quanah,9406632654,"$17,648","$2,877",$0,$0,$0,Yes,Yes,"21,366",713,0,0,"22,818","3,120","1,386","1,111",0,"1,966",Yes,5,738,-1,980,51
Quemado Public Library,"15,673",10/01/2020,09/30/2021,Quemado,8307571313,"$21,099",$794,$0,$0,$0,Yes,Yes,"9,690",430,0,0,"10,960","1,856",917,328,0,438,Yes,9,575,-1,846,38
Caprock Public Library,"1,487",10/01/2020,09/30/2021,Quitaque,8064551225,"$34,607","$3,682",$0,$0,$0,Yes,Yes,"7,855",398,"5,982","1,941","17,302","2,264",245,943,65,"2,306",Yes,5,190,303,"1,948",52
Quitman Public Library,"6,662",10/01/2020,09/30/2021,Quitman,9037634191,"$87,500","$2,365","$1,500",$0,$0,Yes,Yes,"26,625",655,"24,100","2,150","55,501","12,725","8,810","11,325","2,830","24,625",Yes,8,"9,850","1,080","1,536",48
Ranger City Library,"3,014",10/01/2020,09/30/2021,Ranger,2546471880,"$31,659",$732,$0,$0,$0,Yes,Yes,"10,931",486,0,0,"11,697","2,977","1,529","1,519",0,"1,634",Yes,9,"1,207",-1,"2,000",50
Rankin Public Library,"1,954",01/01/2021,12/31/2021,Rankin,4326932881,"$88,915","$12,971",$0,$0,$0,Yes,Yes,"20,012",635,0,0,"20,936","18,424","1,201","7,350",0,"10,882",Yes,5,"4,511",-1,"1,936",51
Red Oak Public Library,"14,222",10/01/2020,09/30/2021,Red Oak,4692181230,"$1,90,601","$16,684","$8,323",$0,$0,Yes,Yes,"10,625",182,"24,184","4,327","41,148",421,"3,033","4,221","4,450","11,994",Yes,5,0,-1,0,0
Dennis M O'Connor Public Library,"6,877",10/01/2020,09/30/2021,Refugio,3615262608,"$99,048","$6,905","$1,000",$0,$0,Yes,Yes,"14,310",384,"15,279","4,044","35,114","6,757","1,082","5,019",806,"7,941",Yes,6,765,-1,"2,173",48
Rhome Community Library,"7,070",10/01/2020,09/30/2021,Rhome,8176362767,"$10,309","$3,458","$1,000",$0,$0,Yes,Yes,"9,640",8,"9,816",655,"21,346","1,693",405,"1,023",366,"3,830",Yes,3,195,"1,726","1,002",50
Richardson Public Library,"1,19,469",10/01/2020,09/30/2021,Richardson,9727444350,"$28,86,929","$2,59,112","$2,14,389",$0,$0,Yes,Yes,"2,49,266","16,031","16,268","12,952","3,18,896","1,74,791","41,960","3,05,652","78,441","10,13,086",Yes,38,"2,872","4,03,169","2,449",46
Richland Hills Public Library,"8,621",10/01/2020,09/30/2021,Richland Hills,8176163760,"$3,16,718","$19,750","$6,000",$0,$0,Yes,Yes,"20,116","1,687","24,579","9,342","59,895","9,171","5,623","16,661","1,008","28,364",Yes,4,"1,447",-1,"1,760",52
Fort Bend County Libraries,"7,97,337",10/01/2020,09/30/2021,Richmond,2816334702,"$1,44,22,439","$17,82,005","$5,99,695",$0,"$14,68,474",Yes,Yes,"8,42,317","60,780","38,086","32,723","10,49,575","7,42,016","3,80,525","5,73,329","2,73,807","23,93,090",Yes,438,"53,883","10,50,915","1,645",33
Rio Grande City Public Library,"15,317",10/01/2020,09/30/2021,Rio Grande City,9564874389,"$2,12,134","$17,800","$6,000",$0,$0,Yes,Yes,"18,000",178,"27,874","6,923","53,679","12,561","8,068",643,"2,388","4,310",Yes,17,941,"1,504","1,305",29
Rio Hondo Public Library,"2,775",10/01/2020,09/30/2021,Rio Hondo,9567483322,"$16,334","$2,020",$0,$0,$0,Yes,Yes,"10,308",56,"23,591","5,771","40,513","2,162","3,113",437,588,"1,362",Yes,17,321,"1,020","1,405",49
Roanoke Public Library,"9,665",10/01/2020,09/30/2021,Roanoke,8174912691,"$4,93,981","$18,402","$16,740",$0,$0,Yes,Yes,"28,620","1,288","10,377",791,"47,090","35,044","11,210","21,494","2,005","61,500",Yes,16,"2,636",-1,"2,416",52
Coke County Library,"3,323",10/01/2020,09/30/2021,Robert Lee,3254532495,"$13,336","$2,594",$0,$0,$0,Yes,Yes,"11,426",271,0,0,"11,907",846,130,945,0,"1,325",Yes,1,123,-1,976,50
Nueces County Public Libraries,"42,362",10/01/2020,09/30/2021,Robstown,3613873431,"$6,42,866","$87,835","$32,885",$0,$0,Yes,Yes,"37,571",472,"6,20,595","1,52,900","8,70,487","17,045","12,241","28,096","5,407","65,500",Yes,46,"1,053","5,930","1,013",17
Lucy Hill Patterson Memorial Library,"5,323",10/01/2020,09/30/2021,Rockdale,5124463410,"$1,35,169","$9,828",$0,$0,$0,Yes,Yes,"20,461",550,0,0,"21,626","4,360","6,951","5,328",0,"8,580",Yes,16,"1,289",-1,"1,809",48
